,Command,DistToRfvThreshold,Text
0,payment/withdrawal/无法登入提款页面,1.1657187498202348,提款 页面 一片 空白 ， 是 怎么 一回 事 
1,promotion/ slots/老虎机优惠,0.7365333694052537,我 要 怎么 参与 老虎机 的 优惠 
2,bet/livedealer/龙宝百家乐的游戏规则,0.9468125743994382,可以 解释 下 龙宝百家乐 的 规则 吗 
3,smalltalk/personality/小帮手会什么语言？,1.059338808513158,会 说法 文 吗 
4,account/如何激活账户,1.3189310950055464,解除 冻结 账号 
5,portal/网址被劫持,1.3422855954357298,登陆 出现 威尼斯人 是 什么 情况 ？ 
6,fundtransfer/如何进行转账,1.3448293000562255,显示 需要 激活 才能 实现 一 键 转账 怎么 激活 呢 ？ 
7,portal/app/ios/乐天堂体育APP 苹果下载版,1.028174247943533,可以 给 个体 育 苹果 app 链接 吗 
8,payment/withdrawal/查询最后一笔的提款申请状态,0.5,
9,portal/app/乐天堂手机版APP更新步骤,1.0765671747377934,发布 新版 本 了 吗 ？ 要 怎么 更新 啊 
10,bet/slot/老虎机结算问题,1.2541995295231698,又 来 免费转 一次 ， 这 一次 爆 奖金额 还是 没 正常 添加 我 是 自动 转 的 ， 转 完 剩下 的 十几 转 ， 看 历史 记录 ， 确实 没 添加 
11,bet/fishing/PT 捕鱼王游戏未派彩,1.1386364285781225,我 在 PT 深海大赢家 击毙 了 条 鱼 没 给 我 派 钱 ， 咋 个 一回 事 ？ 
12,common/查询流水记录,0.5,
13,payment/deposit/localbank/本银转账存款,1.1553301399747329,"本地银行 存款 , 怎么 存款 不 懂 怎么 填写 "
14,promotion/sportsbook/体育首存红利,1.2943941990853136,充 反 百分 50 在 哪 领 
15,payment/deposit/localbank/本银/支付宝转账存款,1.3214102781811532,为什么 支付宝转账 提交 100 元 显示 99 . 65 
16,bet/sportsbook/有没有其他投注类型,1.0649177716044003,时时彩 
17,payment/deposit/cashcard/乐天堂卡存款,1.0699096666402248,威 卡 在 哪里 充值 啊 
18,payment/deposit/others/请问支持自动柜员机存款吗？,1.123128402308847,自动 存款 机能 充值 吗 
19,portal/ android app/乐天堂APP 安卓下载版,0.5867819679796618,下载 乐天堂 APP 
20,fundtransfer/免费旋转的金额无法转出？,1.1383409005010094,老虎机 免费转 赢 的 钱 怎么 没有 显示 
21,portal/ desktop/清除谷歌浏览器缓存- 桌面设备,0.5932349138832413,清除 缓存 按 哪里 ？ 
22,portal/app/乐天堂APP无法登入或下载失败/备用网址,0.9194016867619661,我 都 下载 几遍 了 
23,promotion/rebate/老虎机返水,1.0703293473134652,老虎机 也 是 返还 1% 吗 还是 1 . 5% ？ 
24,bet/sportsbook/无法登陆体育页面,1.2160475504628243,我 怎么 进入 不了 投注 页面 
25,payment/deposit/利用单号查询存款申请状态,0.8744226289489818,我 的 存款单 号 是 
26,account/phone/如何验证电话号码,1.1427266533936773,怎么 操作手 机 号码 验证 
27,account/更换账户真实姓名,1.275971382988525,我 要 改名 ， 怎么 操作 ？ 
28,common/不满,1.379123650232142,没 屁 眼 
29,bet/sportsbook/internal-intents/怎么在体育页面调整/搜寻赛事（手机）,0.5,
30,smalltalk/personality/小帮手的起源,1.0658583274602775,你 是 什么 国籍 
31,account/email/无法收到乐天堂首次提款验证的邮件,1.2338038679792305,提 钱 要 验证 邮箱 ， 为什么 我 的 邮箱 收 不到 验证 的 东西 
