Brand,Lang,Intent Type,Category,Intent,Weight,Answer,Training Data,English,Answer Key
Fun88,TH,system,Common,welcome,1,สวัสดีค่ะ ยินดีต้อนรับเข้าสู่เว็บไซต์ Fun88 ไม่ทราบว่าต้องการให้ช่วยเหลือในเรื่องใดดีคะ,,Welcome,
Fun88,TH,system,Common,welcome,2,สวัสดีค่ะ ยินดีต้อนรับเข้าสู่เว็บไซต์ Fun88 คุณต้องการติดต่อ สอบถาม หรือ แจ้งปัญหาเกี่ยวกับด้านใดคะ,,Welcome,
Fun88,TH,system,Common,ประเมินการบริการ,1,เรียนคุณ ทางเราขอรบกวนกรอกแบบสอบถามเพื่อประเมินการให้บริการหลังจากจบการสนทนาเพราะคำแนะนำของคุณมีประโยชน์อย่างยิ่งต่อการนำไปพัฒนาการบริการและเป็นกำลังใจของเราต่อไปค่ะ,,Survey by feedback,
Fun88,TH,system,Common,สอบถามเพิ่มเติม,1,ต้องการสอบถามข้อมูลส่วนอื่นเพิ่มเติมหรือไม่คะ,,Goodbye,
Fun88,TH,system,Common,จบการสนทนา,2,หากคุณมีข้อสงสัยเพิ่มเติม กรุณาติดต่อฝ่ายบริการลูกค้า เรายินดีให้บริการคุณที่ห้องสนทนาสด หรือไลน์ ID: @fun88th และ อีเมลมาที่ cs.thai@fun88.com สายด่วน (+66) 600 035 187 ได้ทุกวัน ตลอด 24 ชั่วโมงค่ะ ขอบคุณที่ไว้วางใจ เลือกใช้บริการ Fun88 สวัสดีค่ะ,,Goodbye,
Fun88,TH,system,Common,ขอบคุณ,1,ขอบคุณที่ใช้บริการกับเว็บไซต์ Fun88 ค่ะ,,Thank you,
Fun88,TH,system,Common,noanswer,1,ขออภัย ระบบไม่สามารถค้นหาข้อมูลจากรายละเอียดที่สอบถามได้ กรุณาระบุรายละเอียดอีกครั้ง,,Cannot Find Answer,
Fun88,TH,system,Common,noanswer,2,ขออภัย รบกวนระบุรายละเอียดอีกครั้ง,,Cannot Find Answer,
Fun88,TH,system,Common,ชื่ออะไร,1,ชบา ยินดีให้บริการค่ะ,,Chat bot name,
Fun88,TH,system,Common,อายุเท่าไหร่,1,ชบาอายุ 22 ปีแล้วค่ะ,,Chat bot age,
Fun88,TH,system,Common,ชอบสีอะไร,1,ชบาชอบสีขาวและชมพู,,Prefer color,
Fun88,TH,system,Common,กิจกรรมยามว่าง,1,ชบาชอบทำอาหารและออกกำลังกายเป็นที่สุดเลยค่ะ,,Hoobby,
Fun88,TH,User,Common,ไม่พอใจ,1,"ขออภัยในความไม่สะดวก ทางเราจะมีการพัฒนาและปรับปรุงเว็บไซต์อย่างเร่งด่วน เพื่อที่เว็บไซต์สามารถให้บริการคุณได้อย่างเต็มที่ สะดวก และ รวดเร็ว ขอบคุณค่ะ
ข้อมูลเพิ่มเติม คลิก  <intentlink>ข้อมูลทั่วไปเกี่ยวกับเว็บไซต์<intentlink>","รีบปรับปรุงด่วนเลย
ทำไมเว็บคุณปิดบ่อยจัง
เว็บอะไร ห่วยมาก
แย่จริงๆ
เว็บไม่ได้เรื่อง
ให้ทำไงวะ ถึงจะได้
แม่งเข้าไม่ได้
เว็บกาก
เหี้ยจริงๆ
ห่วยแตก
เบื่อมากกับเว็บนี้
แย่เกิ้น
แม่งให้รอทั้งวัน
ไม่คิดจะแก้ไขระบบบ้างหรือไง
แม่งให้รอทั้งวัน
รออย่างเดียวเลย
เว็บคุณทำได้แค่ให้รออย่างเดียวรึ",Unhappy,
Fun88,TH,User,Common,เสียเดิมพัน/โวยวาย,1,"ขออภัยในความไม่สะดวก เนื่องจากเว็บไซต์เป็นเว็บไซต์การเดิมพัน คุณมีโอกาสที่จะชนะ หรือ แพ้ อย่างไรแล้วขอให้คุณโชคดีในการเดิมนะคะ
ข้อมูลเพิ่มเติม คลิก  <intentlink>ข้อมูลทั่วไปเกี่ยวกับเว็บไซต์<intentlink>","เสียตลอดเลย
ขอให้เว็บมึงเจ้ง
ปรับให้กูขนะบ้างเถอะ
ขอชนะบ้างได้ป่ะ
เสียอีกแล้ว
โกงป่าววะ
เมื่อไรจะได้คืนสักที
หมดไปเป็นพันแล้ว
พวกมึงโกงหรอ
ทำไมผมเสีย
เอาตังกูคืนมา
เสียแต่เงิน
เอาแต่ได้นะมึง
เอาให้รวยไปเลยครับ",Lose/Unhappy,
Fun88,TH,User,Common,ข่มขู่,1,"ขอบคุณที่ใช้บริการกับเว็บไซต์ Fun88 รบกวนใช้คำสุภาพในการสนทนา ละเว้นการข่มขู่กับทางเว็บไซต์ เพื่อรักษาประสิทธิภาพในการใช้งานกับเว็บไซต์ Fun88 หากมีปัญหาติดขัดประการใด รบกวนติดต่อเจ้าหน้าได้ตลอด 24 ชั่วโมง
ข้อมูลเพิ่มเติม คลิก  <intentlink>ข้อมูลทั่วไปเกี่ยวกับเว็บไซต์<intentlink>","กูจะแจ้งความ
จะเอาเรื่องให้ถึงที่สุด
เอาเรื่องแน่
ร้องเรียนคับ
เสียชื่อเยอะนะ 
แจ้งผบ.ตร.ได้คับ
แจ้งตำรวจนะครับ
ผมจะฟ้อง
แล้วเดี๋ยวเจอกัน
เดี๋ยวรุ้เรื่อง
เจอกันๆ
ถ้าไม่ให้ ก็จะแจ้งความ
ไม่กลัวหรอกเว้ย
ประจานลงเฟสนะ
เดี๋ยวมึงเจอกู
ฟ้องพ่อแน่
คุยกันต่อที่ สน. นะคับ
นี่ใบแจ้งความ
ผมจะไป สน รอดูละกัน
ควยเหอะ
พ่อมึงตาย
พวกมึงโกง กูจะแจ้งความ
กระจอก ใครจะไปเล่นด้วย
เล่นไม่ซื่อนี้หว่า
เรื่องนี้ต้องถึง ลุงตู่",Threaten to Report,
Fun88,TH,User,Website,เว็บไซต์,,"คุณต้องการสอบถามเกี่ยวกับเว็บไซต์ในเรื่องใด
 <intentlink>ขั้นตอนการสมัครคุณ<intentlink>
 <intentlink>ข้อมูลทั่วไปเกี่ยวกับเว็บไซต์<intentlink>
 <intentlink>ไม่สามารถเข้าใช้งานเว็บไซต์ได้<intentlink>
 <intentlink>ตรวจสอบข่าวประกาศ/การปิดปรับปรุงระบบ<intentlink>
 <intentlink>บัญชีถูกปิด<intentlink>
 <intentlink>ลบบัญชี<intentlink>","ถามเกี่ยวกับเว็บไซต์
ถามเกี่ยวกับเว็บ
เว็บไซต์
เว็บFun88
เป็นเว็บอะไร
เว็บไซท์",Website,
Fun88,TH,User,Website,ขั้นตอนการสมัครสมาชิก,1,"1 การลงทะเบียนสมัครสมาชิกสามารถเข้าที่ https://www.fun78.com
2 จากนั้นคลิกที่ ""ลงทะบียนตอนนี้"" 
3 กรอกข้อมูลให้ถูกต้องตามจริงเพราะทุกข้อมูลจะต้องใช้เป็นข้อมูลในการฝากถอนเงินของคุณ
 * อีกหนึ่งช่องทางที่สามารถสมัครคุณได้ เพียงแอดไลน์ ID : @funangel แล้วเลือก ""สมัครสมาชิก""
ข้อมูลเพิ่มเติม คลิก  <intentlink>ข้อมูลทั่วไปเกี่ยวกับเว็บไซต์<intentlink>"," ต้องการสมัครสมาชิก
 สมัครยังไง
 อยากสมัคร
 อยากเล่น
 วิธีสมัคร
 สมัครสมาชิก
 ต้องการสมัครใหม่
 ยังไม่เคยเล่น
 อยากเล่นต้องทำไง
 ลงทะเบียนตรงไหน
 ลงทะเบียนสมาชิกต้องทำไง
 อยากสมัครต้องทำอย่างไร
 จะเล่นเว็บนี้ต้องทำไง
 จะหัดเล่น สมัครยังไง
 บอกวิธีสมัครเว็บหน่อย
 กระจอก",Registeration,
