Brand,Lang,Intent Type,Category,Intent,Weight,Answer,Training Data,English,remark,Intend Status & Remark,CS Verify
fun88,cn,user,Others,如果完成设置白名单步骤并且还是无法在垃圾信箱收到乐天堂邮件,1,可能中途传送邮件出现问题了。没关系的，您可以点选下方【转人工客服】协助的呢？,垃圾箱我看了也没有。。。,Unable to Receive Fun88 Email Even After Whitelisting,人工客服,Done,ruby
fun88,cn,system,Common,welcome,1,您好，我是乐天堂平台运作并具有【人工智能】的乐天堂小帮手！请问您是遇到了什么疑问呢？乐天堂小帮手非常乐意为您解答,,Welcome,直接回答,Done,ruby
fun88,cn,system,Common,welcome,1,您好，请问乐天堂小帮手可以协助您什么问题呢？,,Welcome,直接回答,Done,ruby
fun88,cn,system,Common,welcome,1,乐天堂小帮手还在等您的提问呢！,,Welcome,直接回答,Done,ruby
fun88,cn,system,Common,noanswer,1,不好意思，乐天堂小帮手理解不了您的问题，请点击下方的按钮联系乐天堂人工客服。请放心，乐天堂团队正在汇总所有的资料，相信小帮手很快就能为您解决这个问题了！,,Cannot Find Answer,直接回答,Done,ruby
fun88,cn,system,Common,noanswer,1,对不起，小帮手不明白您的问题！,,Cannot Find Answer,直接回答,Done,ruby
fun88,cn,user,Common,不满,1,咦！乐天堂小帮手做错了什么呢？您先不要生气先冷静一些时间，您可以点击【<link>转人工客服</link>】反馈您遇上的问题呢~（Ω_Ω）,"肏你妈
 产你妈
 等你妈的逼
 操你妈
 麻痹的就知道说你妈些废话
 滚，你妈的你们吃钱也太狠心了
 日你妈喂
 玩你妈逼的玩
 你妈逼的死全家的东西
 你妈个逼
 真你妈的傻逼
 滚吧，操你妈，爱出不出，这个钱
 选你妈个比。
 我冷静你妈
 你妈了个B
 你妈的骗子
 操你妈逼的
 艹你妈
 你妈那个丑逼
 死爹死妈的畜生
 你爹妈是一对狗男女
 你他妈娃娃百分之百活不过一岁
 你妈死了
 尼玛那个骚逼
 草泥马
 去你妈垃圾客服
 垃圾
 老子靠你妈
 王八蛋的
 不得好死
 王八蛋
 你这个客服是个混蛋级别，再见
 滚蛋去吧
 你们吃屎的
 财务吃屎的啊
 这效率吃屎的？
 吃屎，等那么久
 一群吃屎的废物
 死全家的狗杂种
 毛B，吃屎的
 你们这群死全家走狗
 怎么都该死
 什么鸡巴玩意那
 你鸡巴
 又是这鸡巴废话
 啥鸡巴玩意
 变个鸡巴！诈骗网址
 干鸡巴啥啊
 你们干鸡巴呢
 你们真鸡巴是骗子
 贼鸡巴丑
 你们是不是变态的
 小杂种
 狗杂种
 畜生
 你是不是野种
 贱狗
 走狗
 没屁眼
 孽种
 诅咒你们
 都是骗子出身
 世世代代都被强奸
 你们逼威一帮废物垃圾
 窝囊废逼威
 垃圾平台
 一点家教都没有
 乐天堂去死吧
 去死吧
 笨蛋
 蠢
 他妈的
 傻逼吧
 你奶了逼患有阴道瘙痒，肛裂。这些病快到网上晒晒吧",Unhappy,人工客服,Done,ruby
fun88,cn,user,Common,举报投诉,1,凡是都有解决的方案，您先不要冲动！正所谓：有福同享，有难同担~ 乐天堂愿意当您的聆听者，您不妨咨询人工客服诉诉苦！客服妹妹会願意倾听您的诉求┗(･ω･;)┛,"看我一举报你们的账户就不能用
 我必须举报到底
 举报黑网站
 我都已经报警还有举报了你们网站
 我的目标就是反掉你们这个黑网站
 搞到你们系统崩溃
 你们被封网了
 要直接去你们账户开户行那里举报账户人诈骗这样子应该应该更好一点。
 让乐天堂这个黑网倒闭
 我马上上报中央
 我已经去告你们乐天堂了
 我一直在网上举报你们
 是不是要我取消申诉
 我要报复你们
 不搞你们乐天堂难解我心头之恨
 我已经在网上和论坛公布你们的黑网站
 我要投诉
 投诉
 投诉你们这个垃圾网站
 投诉你们
 我要举报你们 举报你们黑网站 搞垮你们",Threaten to Report,人工客服,Done,ruby
fun88,cn,user,Common,二维码,1,"小帮手不明白您的意思呢~ 请问您指的是：
 
 <intentlink>在线支付宝/京东支付/在线支付/银联支付无法充值</intentlink>
 
 <intentlink>乐天堂APP无法登入或下载失败/卸载</intentlink>","没有二维码
 找不到二维码
 为什么没有二维码
 二维码无法显示
 为什么扫不了
 二维码扫不了
 怎么没有二维码？
 给我发一下二维码
 打不开二维码
 扫二维码说商品信息有问题
 二维码显示不出来
 存款二维码无法显示
 二维码都没了
 弹不出二维码
 二维码总是出不来
 这个二维码都跳不出来
 二维码去哪了
 我已经试过了几次弹不出二维码
 二维码识别不出来
 下载不了你这个二微码
 看不到二维码 二维码出错",QR Code,人工客服,Done,ruby
fun88,cn,user,Common,乐天堂常见问题,1,您好！请问有什么乐天堂小帮手能协助您的呢？(=ﾟωﾟ)ﾉ,"你好
 您好
 nihao
 亲
 妹妹
 你好在吗
 在吗
 你在？
 再？
 有人在吗？
 有人吗
 客服在不
 客服你好
 客服在吗
 客服在吗?
 在不
 在么
 人呢
 hi
 hello
 hey
 yo
 hola
 annyung
 annyunghahsehyo
 privet
 konichiwa
 bonjour
 bonjeur
 ciao
 salam
 salaam
 ola
 ohayo
 konbanwa
 marhaba
 在没
 有人在没
 不在吗
 在
 好了吗
 你号
 只有投注
 有人不
 ？？
 晚上好
 zma
 妹你好，",Greeting,直接回答,Done,ruby
fun88,cn,user,Common,提交不了,1,"亲~请问您是无法提交什么问题呢～请您详细说明下您发生的情形,或点击【转人工客服】我们会尽快解决您的问題ヽ(´▽｀；)/♪","提交不了
 无法提交
 尝试了，一直提交不成功
 提交不成功怎么办
 说了提交不了
 重新提交不了
 你给我的链接，提交不了
 我提交不了啊！
 给我退回不然提交不了
 提交不上啊
 点击了根本没有办法提交
 不行啊，怎么都提交不上",Submit Fail,人工客服,Done,ruby
fun88,cn,user,Common,提高限额,1,"不好意思，小帮手想知道您是要提高哪方面的限额？
 
 <intentlink>存款限额</intentlink> <intentlink>提款金额限制</intentlink> <intentlink>体育投注金额限制</intentlink>","我可以申请提高限额吗
 我可以增加限额吗
 提高额度
 可以更改限额吗
 我想更改额度可以吗
 怎么调整额度啊
 可以自己操作更改额度的吗
 帮我解除一下限额
 我要提高限额
 快点帮我提高限额
 要达到什么条件才能提高限额啊
 我是想问怎么可以提高限额
 可以帮我提高限额不
 怎么提高限额",Maximum Limits,直接回答,Done,ruby
fun88,cn,user,Common,无法登入乐天堂页面/体育页面/真人页面/游戏页面,1,"不好意思，非常抱歉造成您的不便與困扰,除了正常固定的维护时间；如果遇到紧急维护，是无法提供准确维护完毕时间，但是乐天堂会尽己之力，尽快解决这个问题的，谢谢您的耐心等待与谅解~＼(^ω^＼)( /^ω^)/ 
 
 如果不是在维护时间而您还是无法进入相关页面，请先确认您的网路是通畅的。
 
 然后可以尝试登入我们的【<intentlink>乐天堂备用网址</intentlink>】 试试（请先清除缓存，使用不同的浏览器再重启）
 
 建议您使用(火狐,谷歌最新版本)浏览器,因为经过测试这几款浏览器是比较稳定的.同时建议您清理电脑(手机)上的垃圾和缓存,
 并且关闭管家软件.
 
 点击<intentlink>什么是清除缓存</intentlink>进一步了解
 
 如果已经完成基本步骤还是无法正常登入，请提供错误讯息的截图给【<link>人工客服</link>】处理或查询~~~","体育维护多久
 体育维护还没有好吗？
 体育要维护多久
 体育维护到什么时候
 体育在维护？
 体育博彩维护吗？
 sb体育维护到几点
 体育维护到几点
 请问体育还没维护好吗
 还维护中吗
 是不是还在维护
 维护好久？
 AG维护吗
 老虎机维护吗
 PT维护吗
 真人维护到几点
 PT维护到几点
 老虎机维护到几点
 我的体育怎么进不去了
 体育页面不显示
 怎么体育打不开
 体育上不了
 体育又进不去了
 为什么一直进不去体育
 为什么登录不了乐天堂体育
 体育现在玩不了？
 怎么体育登录不进去
 体育用不了吗？
 我点击体育亚洲盘口，无法显示页面
 体育卡在登录页面上不去
 怎么打不开体育页面？
 体育老进不去，怎么回事
 体育页面加载不出来
 体育无法登入了
 体育怎么进不去了
 体育维护吗，怎么进不去？
 PT进不到
 PT不显示
 为什么一直进不到PT
 PT打开不到
 MG打不开
 MG加载不出来
 老虎机进不去
 GD进不去
 老虎机页面显示不了
 GD加载不到
 进不去真人页面",Cannot Enter Webpage,人工客服,Done,ruby
fun88,cn,user,Common,查询流水记录,1,"实在抱歉呢 亲亲～目前小帮手还不能协助您查询流水记录，但是小帮手会在不久的将来协助您这件事的*\(^v^)/*
 
 目前请点选下方【转人工客服】请在线客服协助查询吧！",我想问一下，在哪可以看到我的流水记录,Rebate Check,人工客服,Done,ruby
fun88,cn,user,Common,疑惑,1,"亲～您的问题是疑惑吗？不明白小帮手的解释？还是小帮手回答不了您的问题呢 Σ(☉▽☉""a
 请重新输入【完整】的咨询问题哦，以便小帮手辨识您的咨询；如果小帮手还是没有办法解答您的问题，请点击【<link>转人工客服</link>】，请在线客服协助哦！","？？？
 ???
 ？
 ……",Doubt,人工客服,Done,ruby
fun88,cn,user,Common,答非所问,1,"不好意思，可能小帮手的理解能力有问题~ 可否请您重新输入比较明确的问题以便小帮手提供协助您呢？( •́ ⍨ •̀)
 
 例如：哪个游戏平台遇上了什么问题？存款尚未到账，提款可以取消吗？等等，以便小帮手可以针对您的问题给予您有效的解答~ 或者亲可以点击【转人工客服】获得帮助哦~","不要答非所问好吗
 这个不是我要的答案
 都说了我懂你还给我
 不是存款，垃圾
 不是提款
 不是
 不对
 不是游戏
 不是体育
 不是账户
 这个不对
 不是网站
 不要给我没有用的
 已经很多次
 我想问的是这个 怎么都还是这个答案 为什么都一直答非所问",Wrong Answer,人工客服,Done,ruby
