,Command,DistToRfvThreshold,Text
0,portal/app/乐天堂真人APP 安卓/苹果下载版,1.2137695850079664,我 只 玩 百家乐 ， 有没有 APP 就 只是 玩弄 百家乐 的 而已 ？ 
1,payment/如何更换提款银行资料？,1.256250776053629,提款 卡 是否 可以 删除 
2,portal/ ios/清除谷歌浏览器缓存- 苹果/平板设备,0.5,
3,promotion/注册彩金,1.335321814655191,新 祖 册 
4,account/我的推荐码是什么,0.9731497444563593,推荐 代码 在 那 查看 
5,account/ verification/KYC审核,1.1263459207993656,审核 是 用来 干什么 ？ 
6,other/抱怨输太多,1.0446896437761077,你 日 怎么 一直 输 
7,payment/deposit/利用单号查询存款申请状态,0.8548279003702228,我 的 存款单 号 是 
8,portal/app/pt/乐天堂PT老虎机桌面客户端,1.111140337021661,我 找 不到 电脑 版本 的 pt 客户端 
9,account/乐天堂账户相关问题,0.9695853655234427,亲 亲 可不可以 帮 我 看看 我 的 身份证 号码 是 多少 
10,account/解除自我限制,1.326753042986446,可以 自己 把 自己 账户 解开 吗 
11,payment/withdrawal/verification/提款验证链接被劫持,1.2334982973593551,银行 资料 审核 通知 点 开 链接 错误 的 
12,portal/ android/ keno/快乐彩- LB优乐彩APP 安卓下载版,0.7014887287953978,LB 优乐彩 下载 
13,slot/大奖老虎机,1.0268044084378407,奖 池 老虎机 
14,smalltalk/personality/小帮手会什么语言？,1.0620145088815016,会 说法 文 吗 
15,payment/deposit/wechat/微信转账了， 但是没有到账？,1.0422861230885592,微信 转账 能 不能 换 个 卡号 ， 邢 黎明 的 限额 了 
16,introduction iom/IOM介绍,1.1830394796152248,牌照 
17,account/email/忘记注册邮箱？,1.113263486868031,注册 邮箱 在 哪里 可以 看见 
18,account/email/设置QQ邮箱白名单,1.2997144949939385,首次 提款 验证 的 邮件 都 没有 ， 教 下 怎样 反 垃圾 
19,promotion/乐天堂APP彩金优惠,0.8314577481781303,下载 只有 有 彩金 吗 
20,payment/deposit/online/无法进行在线存款,1.32997302440823,现在 在线 从不 了 钱 吗 ？ 
21,payment/deposit/cashcard/乐天堂卡存款无法使用,1.1402949214809435,我 刚才 使用 了 乐天堂 卡 但 不知 道 是否 成功 了 
22,payment/deposit/localbank/本银/支付宝存款申请失败,1.1612043439615187,支付宝转账 失败 了 
23,portal/ android/ cs service /在线客服APP 安卓下载版,0.5,
24,bet/结算但还未派彩,1.2292977197563884,我 要 投诉 ！ 成功 下注 没有 派彩 ！ ！ 这种 事情 不是 第一次 了 ！ ！ ！ 
25,account/email/如何更换邮件地址？,1.237503407664883,更换 邮件 
26,announcement/通知/公告,1.2542124302566737,通知 是 干吗 的 
27,common/验证,0.8831128681516028,验证 了 啦 
28,payment/deposit/online/在线存款,1.3353559486461775,你们 有 在线 支付 吗 
29,portal/app/乐天堂游戏APP 安卓/苹果下载版,0.9493572614323875,老虎机 客户端 
30,bet/slot/pt/PT老虎机游戏账户,1.2108339644781487,APP 输入 用户名 密码 后 显示 无法 登陆 ？ 
31,bet/sportsbook/乐天堂体育平台常问的体育游戏规则,1.3203214203093347,总是 坑 我 0 . 5 
32,sponsor/ ambassador/品牌大使,1.2993895730012714,"Robert Bernard ""Robbie"" Fowler "
33,portal/hijack/电脑版网页被劫持教程,0.5,
34,payment/withdrawal/verification/提款验证链接无法使用,1.109398333970653,我 想 提款 ， 银行 资料 审核 点 不 开 
35,bet/fishing/PT 捕鱼王游戏未派彩,1.1335641043493385,我 在 PT 深海大赢家 击毙 了 条 鱼 没 给 我 派 钱 ， 咋 个 一回 事 ？ 
36,fundtransfer/platform/电脑版转账,0.5,
37,payment/withdrawal/如何计算提款流水,1.2355633968312645,提款 对流 水 有 要求 吗 ？ 
38,bet/livedealer/真人游戏结算未派彩,1.3493643460563711,游戏 代码 为 R218042800402 轮盘 ， 少 返 360 元 
39,account/password/无法更换密码,1.032578585435587,怎么 我 根据 步骤 操作 了 还是 更改 不到 密码 
40,fundtransfer/账户有钱却显示余额不足？,1.3648358905410185,想 下注 
41,portal/ android/ live casino/乐天堂真人APP安卓下载版,0.8372797838500112,下载 真人 安 卓 版 
42,promotion/怎么申请优惠,1.0481553719178953,什么 是 首 存 / 再 存 阿 
43,promotion/sportsbook/100% 首次体育投注返还,1.2708760923736382,您好 ， 第一次 注册 下单 ， 黑 了 是 要 退款 的 吧 ？ 
44,bet/注单事宜,0.9707714167362739,我 觉得 这 几 单 投注 有 问题 
45,sport/language/乐天堂体育切换语言,1.2391546888764666,怎么 设置 中文 介 面 
46,bet/livedealer/真人账户余额不对？,1.2697728184567612,我 在 扎 金花 ， 我 牙 50 给 我 扣 100 
47,bet/livedealer/龙宝百家乐的游戏规则,0.9424740962329345,可以 解释 下 龙宝百家乐 的 规则 吗 
48,promotion/优惠事宜,1.3447657621870395,纯 款 有 赠送 吗 
49,promotion/sportsbook/体育首存红利,1.2939273228325054,充 反 百分 50 在 哪 领 
50,account/ register/开户/注册,1.233133330383628,立即 开户 
51,payment/deposit/others/请问支持信用卡充值吗？,0.9576624307969691,如果 我 要 使用 信用卡 存款 ， 是 要 通过 什么 方式 使用 呢 
52,payment/withdrawal/提款申请失败,1.1917157098750657,提款 被 弹 下来 了 ， 什么 回事 
53,portal/cs-contact/如何联系在线客服,1.2549654414898226,你 是 机器人 吗 ？ 
54,promoiton/ bonus promoiton/如何计算红利流水,0.925301652963003,我 申请 了 红利 怎么 算 
55,smalltalk/私人问题,1.3377840420813933,约 炮 吗 
56,promotion/推荐好友优惠,0.9978602601678462,乐天堂 邀请 新人 有奖 励 吗 
57,payment/deposit/localbank/本银/支付宝转账存款,1.321743216400366,为什么 支付宝转账 提交 100 元 显示 99 . 65 
58,payment/withdrawal/提款多久才到账,1.1907457274379303,为什么 提款 这么 慢 
59,bet/sportsbook/有没有其他投注类型,1.0686864421641116,你好 ， 想 问 下 你们 有没有 彩票 之类 的 投注 
60,promotion/ im sport/电竞优惠,0.7046703437239573,我 想 拿 电 竞 彩金 
61,smalltalk/proposals/小帮手 私人联系方式,1.2659040535165773,跟 我 约会 
62,payment/withdrawal/提款申请状态,1.1703933556969714,提款 流水 是否 通过 审核 了 
63,sport/ im sport/IM体育,0.5359101229208206,盘 口 设置 ， IM 在 那 可以 找到 
64,bet/livedealer/真人注单结算问题,1.3128052458669972,闲 2 最后 一张 明显 是 2 
65,account/ unlock pt account/PT 账号解锁,0.8214449070642201,百乐城 账户 被 锁 了 
66,keno/ market/优乐彩市场,1.2920022151021726,斯洛伐克 
67,payment/deposit/存款多久到账？,1.3756967648893206,转账 成功 请 速度 入账 
68,payment/移除銀行资料,1.045502406790184,银行卡 卡号 绑定 错误 
69,bet/sportsbook/体育常问问题,0.5,
70,payment/ deposit limit/乐天堂网站存款金额限制,1.217290947649012,微信 里 只有 100 块钱 能 不能 存 
71,payment/deposit/存款,1.3634241088226493,今天 进账 的话 几时 才能 下注 ？ 
72,payment/deposit/wechat/为什么我没有微信存款？,0.7875600856726999,刚 注册 ， 你们 这里 有没有 微信 存款 的 ？ 
73,common/提交不了,1.030523858222791,点击 了 根本 没有 办法 提交 
74,payment/没有到账,1.3460557434782405,怎么 没有 入 款 
75,common/提高限额,1.224515459078736,怎么 调整 额度 啊 
76,promotion/可以申请成为VIP会员吗？,1.241345114584586,哪里 可以 看到 我 的 账号 等级 
77,bet/sportsbook/internal-intents/怎么在体育页面调整/搜寻赛事（APP）,0.5,
78,portal/乐天堂专属会员网址,0.9466455976803619,我 的 安全 屋 
