Brand,Category,Intent,Intent ID,Intent.Type,Lang,Text
fun88,cx,APP,cx/APP,internal,th,มือถือ
fun88,cx,APP,cx/APP,internal,th,แอพ
fun88,cx,APP,cx/APP,internal,th,เอาออก
fun88,cx,APP,cx/APP,internal,th,ตั้งค่า
fun88,cx,APP,cx/APP,internal,th,IOS
fun88,cx,APP,cx/APP,internal,th,แอนดอย
fun88,cx,APP,cx/APP,internal,th,apple
fun88,cx,APP,cx/APP,internal,th,ระบบ
fun88,cx,APP,cx/APP,internal,th,ซอฟแวร์
fun88,cx,APP,cx/APP,internal,th,แอพพลิเคชั่น
fun88,cx,APP,cx/APP,internal,th,โปรแกรม
fun88,cx,APP,cx/APP,internal,th,โหลด
fun88,cx,APP,cx/APP,internal,th,ดาวน์โหลด
fun88,cx,APP,cx/APP,internal,th,เวอร์ชั่น
fun88,cx,UI,cx/UI,internal,th,น่าเกลียด
fun88,cx,UI,cx/UI,internal,th,ไม่น่าสนใจ
fun88,cx,UI,cx/UI,internal,th,ไม่สวย
fun88,cx,UI,cx/UI,internal,th,กาก
fun88,cx,UI,cx/UI,internal,th,ยาก
fun88,cx,UI,cx/UI,internal,th,ไม่ชอบ
fun88,cx,UI,cx/UI,internal,th,แย่
fun88,cx,UI,cx/UI,internal,th,ห่วย
fun88,cx,UI,cx/UI,internal,th,เซง
fun88,cx,UI,cx/UI,internal,th,ยุ่งยาก
fun88,cx,UI,cx/UI,internal,th,ปุ่ม
fun88,cx,UI,cx/UI,internal,th,กรอก
fun88,cx,UI,cx/UI,internal,th,หน้าเว็บ
fun88,cx,UI,cx/UI,internal,th,ค้นหา
fun88,cx,UI,cx/UI,internal,th,แถบ
fun88,cx,UI,cx/UI,internal,th,ไอคอน
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,ปิดการใช้งาน
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,ต้องการระงับการเข้าใช้งาน
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,ขอปิดการเข้าใช้งานไปเลยคับ
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,ยกเลิก ไม่เข้าใช้งานแล้ว
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,ตั้งค่าจำกัดการเข้าใช้งานตรงไหน
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,จะไม่เข้ามาเล่นสักอาทิตย์
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,หยุดเล่นถาวรเลยคับ
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,เลิกเล่น ทำไง
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,ไม่อยากเล่นแล้วปิดเลย
fun88,account,การตั้งค่าส่วนตัว,account/การตั้งค่าส่วนตัว,user,th,บล็อกผมไปเลยก็ได้
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,บัญชี
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,ยูสเซอร์
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,ยูสเซอร์เนม
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,การตั้งค่า
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,ปลดล็อค
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,ล็อค
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,ตั้งค่า
fun88,account,ข้อมููลบัญชี,account/ข้อมููลบัญชี,user,th,ตั้งค่าส่วนตัว
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ทำไมเข้าสู่ระบบไม่ได้
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ยุสเซอร์ถูกระงับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,เข้าระบบไม่ได้
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ทำไมยูสเซอพี่โดนระงับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ทำไมบันชีถูกระงับอะครับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ยูเซอโดนระงับ เพราะอะไรค่ะ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,Mana29เข้าเล่นไม้ได้คับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ไอดีโดนระงับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,สมัครไว้แล้วเข้าไม่ได้
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ผมจะเลิกเล่นตั้งแต่วันนี้ไป รบกวนลบยูส
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ยูสเซอร์เนมโดนระงับ ทำอย่างไรได้บ้างครับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ต้องการปิดบัญชีครับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,พี่ครับยูสเชอร์ผมโดนบ็อคครับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ยูสเชอโดนลงับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ทำไมเข้าเกมไม่ได้
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,รบกวนปิดยอดบัญชีให้หน่อยได้ไหมคะ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ปิดบัญชีนี้ได้ป่ะครับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,รบกวน ลบยูชเซอที่ไม่ใช้งานได้ไหมคับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,user โดนระงับ
fun88,account,บัญชีถูกปิด,account/บัญชีถูกปิด,user,th,ทำไมไอดีผมถูกระงับใช้งานหรอครับ
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ยกเลิกการตั้งค่าว่วนตัวค่ะ
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ต้องการยกเลิกระงับการใช้งานชั่วคราว
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ขอปลดล๊อคเกมได้ไหมคะ
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ขอเปิดใช้บัญชีปกติคับ
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,เคย ระงับยูสถาวร..สามารถเปิดใช้ยูสเดิมได้ไม๊
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ยกเลิกบัญชี่ครับ
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ตั้งปืดการเดิมพันถาวอนไว้
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ยกเลิกควบคุมกานเดิมพัน
fun88,account,ปลดล็อคการตั้งค่าส่วนตัว,account/ปลดล็อคการตั้งค่าส่วนตัว,user,th,ปิดตั้งค่าการเดิมพัน
